Marca temporal,Dirección de correo electrónico,Centro educativo,Grado/sección,Fecha de aplicación,1- Disponibilidad de dispositivos,2- Dispositivos disponibles,3- Frecuencia uso semanal,4- TIC en planificación,5- TIC para investigar,6- TIC para evaluar,7- TIC para presentar contenidos,8- TIC ayuda comprensión,9- TIC facilita recordar,10- TIC relaciona con vida diaria,11- Aplicar en ejercicios distintos,12- Explicar lo aprendido,13- Interés inicial,14- Atención más que actividades tradicionales,15- Participación activa,16- Mantiene concentración,17- Considera positivo TIC,18- Aumenta deseo de aprender
01/28/2025 00:00:00,estudiante1@escuela.edu,Juan Bautista De la Cruz,3ro B,01/28/2025,Sí,"Computadora,Proyector,Internet",Nunca,5,2,2,4,4,5,3,5,5,2,4,1,3,4,5
01/31/2025 00:00:00,estudiante2@escuela.edu,Juan Bautista De la Cruz,3ro B,01/31/2025,Sí,"Computadora,Proyector,Internet",4-5 veces,1,3,3,2,5,1,1,1,2,2,4,5,2,3,3
01/23/2025 00:00:00,estudiante3@escuela.edu,Federico Augusto Gonzalez,3ro A,01/23/2025,Sí,"Tableta,Proyector,Internet",Más de 5 veces,1,3,5,5,5,3,2,1,5,2,5,4,4,5,5
01/23/2025 00:00:00,estudiante4@escuela.edu,Federico Augusto Gonzalez,3ro A,01/23/2025,Sí,"Computadora,Tableta,Proyector,Internet",4-5 veces,2,4,5,2,1,4,4,4,5,3,4,1,4,1,5
01/27/2025 00:00:00,estudiante5@escuela.edu,Juan Bautista De la Cruz,3ro A,01/27/2025,Sí,"Computadora,Pantalla digital,Internet",2-3 veces,3,4,5,2,3,4,2,5,5,4,5,5,5,5,5
02/10/2025 00:00:00,estudiante6@escuela.edu,Federico Augusto Gonzalez,3ro C,02/10/2025,No,,Nunca,1,1,1,1,2,1,4,3,2,5,4,5,1,4,1
01/28/2025 00:00:00,estudiante7@escuela.edu,Federico Augusto Gonzalez,3ro A,01/28/2025,Sí,"Computadora,Pantalla digital,Internet",4-5 veces,5,4,4,4,5,4,1,1,4,4,5,5,3,4,4
02/04/2025 00:00:00,estudiante8@escuela.edu,Federico Augusto Gonzalez,3ro C,02/04/2025,Sí,"Proyector,Internet,Bocinas",1 vez,5,5,5,4,5,1,5,1,1,2,2,3,4,4,2
01/27/2025 00:00:00,estudiante9@escuela.edu,Federico Augusto Gonzalez,3ro A,01/27/2025,No,,2-3 veces,2,4,1,2,2,1,2,3,4,4,4,2,3,1,1
02/11/2025 00:00:00,estudiante10@escuela.edu,Juan Bautista De la Cruz,3ro A,02/11/2025,No sabe,,4-5 veces,1,1,3,5,3,3,4,1,3,1,5,1,1,2,1
02/03/2025 00:00:00,estudiante11@escuela.edu,Juan Bautista De la Cruz,3ro B,02/03/2025,Sí,"Proyector,Internet,Bocinas",1 vez,1,2,3,1,4,5,1,3,2,5,5,5,1,2,5
01/17/2025 00:00:00,estudiante12@escuela.edu,Juan Bautista De la Cruz,3ro B,01/17/2025,Sí,"Computadora,Pantalla digital,Internet",2-3 veces,2,5,4,4,4,3,2,2,4,5,1,5,4,5,5
01/22/2025 00:00:00,estudiante13@escuela.edu,Juan Bautista De la Cruz,3ro A,01/22/2025,Sí,"Computadora,Tableta,Proyector,Internet",Más de 5 veces,5,1,4,3,5,1,5,5,3,4,5,2,4,5,5
01/18/2025 00:00:00,estudiante14@escuela.edu,Juan Bautista De la Cruz,3ro C,01/18/2025,Sí,"Computadora,Pantalla digital,Internet",Más de 5 veces,4,2,5,1,5,4,5,1,2,1,1,5,2,5,4
01/30/2025 00:00:00,estudiante15@escuela.edu,Juan Bautista De la Cruz,3ro A,01/30/2025,Sí,"Computadora,Tableta,Proyector,Internet",Nunca,4,5,2,1,1,3,4,1,5,4,5,5,1,5,2
02/02/2025 00:00:00,estudiante16@escuela.edu,Federico Augusto Gonzalez,3ro B,02/02/2025,Sí,"Computadora,Proyector,Internet",4-5 veces,5,5,4,5,4,5,2,3,1,5,4,4,4,4,4
